"from","to"
"Daniel Pichot","Antoine Follain"
"Daniel Pichot","Claude Lecouteux"
"Daniel Pichot","Nathalie Prince"
"Daniel Pichot","Perrine Mane"
"Daniel Pichot","Christophe Maneuvrier"
"Daniel Pichot","Frédérique Lachaud"
"Daniel Pichot","Mathieu Arnoux"
"Daniel Pichot","Nicolas Carrier"
"Nathalie Prince","Antoine Follain"
"Nathalie Prince","Claude Lecouteux"
"Nathalie Prince","Daniel Pichot"
"Bernard Heyberger","Doris Behrens-Abouseif"
"Bernard Heyberger","Ioanna Rapti"
"Bernard Heyberger","Jocelyne Dakhlia"
"Bernard Heyberger","Nicolas Michel"
"Bernard Heyberger","Wolfgang Kaiser"
"Bernard Heyberger","Cengiz Kırlı"
"Bernard Heyberger","Méropi Anastassiadou-Dumont"
"Bernard Heyberger","Suraiya Faroqhi"
"Bernard Heyberger","Thierry Zarcone"
"Bernard Heyberger","Şevket Pamuk"
"Bernard Heyberger","Jane Hathaway"
"Bernard Heyberger","Leïla Blili Temime"
"Bernard Heyberger","Nadine Picaudou"
"Bernard Heyberger","Marie-Paule Masson-Vincourt"
"Bernard Heyberger","Michel Espagne"
"Bernard Heyberger","Philippe Antoine"
"Doris Behrens-Abouseif","Bernard Heyberger"
"Doris Behrens-Abouseif","Ioanna Rapti"
"Doris Behrens-Abouseif","Jocelyne Dakhlia"
"Doris Behrens-Abouseif","Nicolas Michel"
"Ioanna Rapti","Bernard Heyberger"
"Ioanna Rapti","Doris Behrens-Abouseif"
"Ioanna Rapti","Jocelyne Dakhlia"
"Ioanna Rapti","Nicolas Michel"
"Ioanna Rapti","Aram Mardirossian"
"Ioanna Rapti","Jean-Pierre Mahé"
"Ioanna Rapti","Taline Ter Minassian"
"Jocelyne Dakhlia","Bernard Heyberger"
"Jocelyne Dakhlia","Doris Behrens-Abouseif"
"Jocelyne Dakhlia","Ioanna Rapti"
"Jocelyne Dakhlia","Nicolas Michel"
"Nicolas Michel","Bernard Heyberger"
"Nicolas Michel","Doris Behrens-Abouseif"
"Nicolas Michel","Ioanna Rapti"
"Nicolas Michel","Jocelyne Dakhlia"
"Emmanuelle Picard","Florence Descamps"
"Emmanuelle Picard","Jean-François Chanet"
"Emmanuelle Picard","Jean-François Condette"
"Emmanuelle Picard","Patrick Garcia"
"Florence Descamps","Emmanuelle Picard"
"Florence Descamps","Jean-François Chanet"
"Florence Descamps","Jean-François Condette"
"Florence Descamps","Patrick Garcia"
"Jean-François Chanet","Emmanuelle Picard"
"Jean-François Chanet","Florence Descamps"
"Jean-François Chanet","Jean-François Condette"
"Jean-François Chanet","Patrick Garcia"
"Jean-François Chanet","Dominique Poulot"
"Jean-François Chanet","Anne-Marie Thiesse"
"Jean-François Chanet","Laurent Le Gall"
"Jean-François Chanet","Marie-Ève Thérenty"
"Jean-François Chanet","Valérie Tesnière"
"Jean-François Condette","Emmanuelle Picard"
"Jean-François Condette","Florence Descamps"
"Jean-François Condette","Jean-François Chanet"
"Jean-François Condette","Patrick Garcia"
"Patrick Garcia","Emmanuelle Picard"
"Patrick Garcia","Florence Descamps"
"Patrick Garcia","Jean-François Chanet"
"Patrick Garcia","Jean-François Condette"
"Patrick Garcia","Anne-Emmanuelle Demartini"
"Patrick Garcia","Florence Gherchanoc"
"Patrick Garcia","Luigi Cajani"
"Patrick Garcia","Patricia Legris"
"Patrick Garcia","Pierre Ellinger"
"Patrick Garcia","Pietro Vannicelli"
"Clarisse Berthezène","Nancy L. Green"
"Clarisse Berthezène","Marie-Emmanuelle Chessel"
"Clarisse Berthezène","Rebecca Rogers"
"Marie-Emmanuelle Chessel","Nancy L. Green"
"Marie-Emmanuelle Chessel","Clarisse Berthezène"
"Marie-Emmanuelle Chessel","Rebecca Rogers"
"Rebecca Rogers","Nancy L. Green"
"Rebecca Rogers","Clarisse Berthezène"
"Rebecca Rogers","Marie-Emmanuelle Chessel"
"Dominique Kalifa","Lionel Kesztenbaum"
"Dominique Kalifa","Marie-Claude Blanc-Chaléard"
"Dominique Kalifa","Philippe Rygiel"
"Dominique Kalifa","Anne-Emmanuelle Demartini"
"Dominique Kalifa","Carmine Pinto"
"Dominique Kalifa","Francesca Gallo"
"Dominique Kalifa","Francesco Benigno"
"Dominique Kalifa","Alain Blum"
"Dominique Kalifa","Clare Anderson"
"Dominique Kalifa","Isabelle Merle"
"Dominique Kalifa","Jean-Lucien Sanchez"
"Dominique Kalifa","Marc Renneville"
"Lionel Kesztenbaum","Dominique Kalifa"
"Lionel Kesztenbaum","Marie-Claude Blanc-Chaléard"
"Lionel Kesztenbaum","Philippe Rygiel"
"Marie-Claude Blanc-Chaléard","Dominique Kalifa"
"Marie-Claude Blanc-Chaléard","Lionel Kesztenbaum"
"Marie-Claude Blanc-Chaléard","Philippe Rygiel"
"Philippe Rygiel","Dominique Kalifa"
"Philippe Rygiel","Lionel Kesztenbaum"
"Philippe Rygiel","Marie-Claude Blanc-Chaléard"
"Philippe Rygiel","Kenyon Zimmer"
"Philippe Rygiel","Pilar González Bernaldo de Quirós"
"Philippe Rygiel","Steven G Reinhardt"
"Philippe Rygiel","Annick Lempérière"
"Philippe Rygiel","David C. LaFevor"
"Philippe Rygiel","Jose C. Moya"
"Philippe Rygiel","Julio Djenderedjian"
"Marc Dumont","Monique Toublanc"
"Marc Dumont","Patrizia Ingallina"
"Marc Dumont","Pierre Bazin"
"Marc Dumont","Anne Ouallet"
"Marc Dumont","Bernard Hourcade"
"Marc Dumont","Mina Saïdi-Sharouz"
"Monique Toublanc","Marc Dumont"
"Monique Toublanc","Patrizia Ingallina"
"Monique Toublanc","Pierre Bazin"
"Patrizia Ingallina","Marc Dumont"
"Patrizia Ingallina","Monique Toublanc"
"Patrizia Ingallina","Pierre Bazin"
"Pierre Bazin","Marc Dumont"
"Pierre Bazin","Monique Toublanc"
"Pierre Bazin","Patrizia Ingallina"
"Gioacchino Francesco La Torre","Jean-Christophe Sourisseau"
"Gioacchino Francesco La Torre","Luigi Maria Caliò"
"Gioacchino Francesco La Torre","Marco Fabbri"
"Gioacchino Francesco La Torre","Stéphane Verger"
"Jean-Christophe Sourisseau","Gioacchino Francesco La Torre"
"Jean-Christophe Sourisseau","Luigi Maria Caliò"
"Jean-Christophe Sourisseau","Marco Fabbri"
"Jean-Christophe Sourisseau","Stéphane Verger"
"Jean-Christophe Sourisseau","Francesco Sirano"
"Jean-Christophe Sourisseau","Marina Castoldi"
"Jean-Christophe Sourisseau","Éric Gailledrat"
"Luigi Maria Caliò","Gioacchino Francesco La Torre"
"Luigi Maria Caliò","Jean-Christophe Sourisseau"
"Luigi Maria Caliò","Marco Fabbri"
"Luigi Maria Caliò","Stéphane Verger"
"Marco Fabbri","Gioacchino Francesco La Torre"
"Marco Fabbri","Jean-Christophe Sourisseau"
"Marco Fabbri","Luigi Maria Caliò"
"Marco Fabbri","Stéphane Verger"
"Stéphane Verger","Gioacchino Francesco La Torre"
"Stéphane Verger","Jean-Christophe Sourisseau"
"Stéphane Verger","Luigi Maria Caliò"
"Stéphane Verger","Marco Fabbri"
"Stéphane Verger","Angelo Bottini"
"Stéphane Verger","Enzo Lippolis"
"Stéphane Verger","Henri Duday"
"Stéphane Verger","Massimo Osanna"
"Stéphane Verger","Véronique Dasen"
"Stéphane Verger","Dominique Briquel"
"Stéphane Verger","Adriano Maggiani"
"Stéphane Verger","Jean-Paul Thuillier"
"Stéphane Verger","Luca Cerchiai"
"Stéphane Verger","Antonio G. Sagona"
"Stéphane Verger","Bertille Lyonnet"
"Stéphane Verger","Christine Lorre"
"Stéphane Verger","Henri-Paul Francfort"
"Stéphane Verger","Nino Lordkipanidze"
"Stéphane Verger","Nino Sulava"
"Fabrice Monna","Louise Gomart"
"Fabrice Monna","Stefan Wirth"
"Fabrice Monna","Sébastien Manem"
"Fabrice Monna","Thibault Lachenal"
"Fabrice Monna","Valentine Roux"
"Louise Gomart","Fabrice Monna"
"Louise Gomart","Stefan Wirth"
"Louise Gomart","Sébastien Manem"
"Louise Gomart","Thibault Lachenal"
"Louise Gomart","Valentine Roux"
"Stefan Wirth","Fabrice Monna"
"Stefan Wirth","Louise Gomart"
"Stefan Wirth","Sébastien Manem"
"Stefan Wirth","Thibault Lachenal"
"Stefan Wirth","Valentine Roux"
"Sébastien Manem","Fabrice Monna"
"Sébastien Manem","Louise Gomart"
"Sébastien Manem","Stefan Wirth"
"Sébastien Manem","Thibault Lachenal"
"Sébastien Manem","Valentine Roux"
"Thibault Lachenal","Fabrice Monna"
"Thibault Lachenal","Louise Gomart"
"Thibault Lachenal","Stefan Wirth"
"Thibault Lachenal","Sébastien Manem"
"Thibault Lachenal","Valentine Roux"
"Valentine Roux","Fabrice Monna"
"Valentine Roux","Louise Gomart"
"Valentine Roux","Stefan Wirth"
"Valentine Roux","Sébastien Manem"
"Valentine Roux","Thibault Lachenal"
"Andrea Rapini","Domenico Maria Bruni"
"Andrea Rapini","Henry Rousso"
"Andrea Rapini","Michel Margairaz"
"Andrea Rapini","Rolf Petri"
"Domenico Maria Bruni","Andrea Rapini"
"Domenico Maria Bruni","Henry Rousso"
"Domenico Maria Bruni","Michel Margairaz"
"Domenico Maria Bruni","Rolf Petri"
"Henry Rousso","Andrea Rapini"
"Henry Rousso","Domenico Maria Bruni"
"Henry Rousso","Michel Margairaz"
"Henry Rousso","Rolf Petri"
"Michel Margairaz","Andrea Rapini"
"Michel Margairaz","Domenico Maria Bruni"
"Michel Margairaz","Henry Rousso"
"Michel Margairaz","Rolf Petri"
"Michel Margairaz","Anne Dalmasso"
"Michel Margairaz","Catherine Vuillermot"
"Michel Margairaz","Paul Dietschy"
"Michel Margairaz","Éric Anceau"
"Michel Margairaz","Olivier Feiertag"
"Michel Margairaz","Clotilde Druelle-Korn"
"Michel Margairaz","Peter Heyrman"
"Michel Margairaz","Philippe Moati"
"Michel Margairaz","Sabine Effosse"
"Michel Margairaz","Steven M. Zdatny"
"Michel Margairaz","Arnaud Manas"
"Michel Margairaz","Kazuhiko Yago"
"Rolf Petri","Andrea Rapini"
"Rolf Petri","Domenico Maria Bruni"
"Rolf Petri","Henry Rousso"
"Rolf Petri","Michel Margairaz"
"Anne Puissant","Hervé Daniel"
"Anne Puissant","Marc Robin"
"Anne Puissant","Sylvain Bigot"
"Hervé Daniel","Anne Puissant"
"Hervé Daniel","Marc Robin"
"Hervé Daniel","Sylvain Bigot"
"Marc Robin","Anne Puissant"
"Marc Robin","Hervé Daniel"
"Marc Robin","Sylvain Bigot"
"Sylvain Bigot","Anne Puissant"
"Sylvain Bigot","Hervé Daniel"
"Sylvain Bigot","Marc Robin"
"Sylvain Bigot","Benjamin Bois"
"Sylvain Bigot","João Carlos Andrade dos Santos"
"Sylvain Bigot","Valérie Bonnardot"
"Jean-Denis Vigne","Michel Mauvilly"
"Jean-Denis Vigne","Nicolas Valdeyron"
"Jean-Denis Vigne","Sandrine Costamagno"
"Michel Mauvilly","Jean-Denis Vigne"
