"from","to"
1158,350
1159,350
1160,356
1161,356
1162,356
1163,356
1164,215
1165,33
1166,40
1167,336
1168,290
1169,317
1170,40
1171,40
1172,373
1173,386
1174,142
1175,94
1176,263
1177,268
1178,34
1179,306
1180,142
1181,293
1182,209
1183,34
1184,97
1185,278
1186,145
1187,40
1188,29
1189,8
1190,10
1191,40
1192,118
1193,94
1194,40
1195,52
1196,131
1197,355
1198,118
1199,266
1200,10
1201,20
1202,115
1203,20
1204,11
1205,26
1206,40
1207,197
1208,287
1209,116
1210,94
1211,147
1212,97
1213,147
1214,147
1215,11
1216,145
1217,96
1218,34
1219,258
1220,140
1221,37
1222,115
1223,117
1224,20
1225,239
1226,130
1227,117
1228,78
1229,138
1230,40
1231,145
1232,10
1233,145
1234,130
1235,20
1236,142
1237,40
1238,40
1239,40
1240,283
1241,130
1241,149
1242,113
1242,23
1243,64
1243,77
1244,147
1244,154
1245,132
1245,154
1246,251
1246,339
1247,117
1247,94
1248,116
1248,122
1249,117
1249,122
1250,147
1250,154
1251,353
1251,361
1252,117
1252,96
1253,11
1253,114
1254,143
1254,156
1255,122
1255,84
1256,11
1256,118
1257,268
1257,307
1258,268
1258,307
1259,195
1259,203
1260,126
1260,293
1261,10
1261,11
1262,94
1262,97
1263,137
1263,94
1264,118
1264,96
1265,109
1265,11
1266,187
1266,190
1267,278
1267,287
1268,3
1269,146
1269,154
1270,305
1270,60
1271,356
1271,367
1272,20
1272,31
1273,134
1273,154
1274,145
1274,20
1275,145
1275,20
1276,118
1276,68
1277,145
1277,25
1278,278
1278,302
1279,354
1279,360
1280,319
1280,332
1281,118
1281,145
1282,68
1282,79
1283,257
1283,60
1284,36
1284,97
1285,146
1285,154
1286,146
1286,94
1287,351
1287,360
1288,34
1288,40
1289,147
1289,154
1290,201
1290,240
1291,3
1291,60
1292,130
1292,154
1293,117
1293,142
1294,140
1294,154
1295,118
1295,94
1296,10
1296,33
1297,177
1297,94
1298,117
1298,148
1299,337
1299,41
1300,133
1300,154
1301,10
1301,7
1302,94
1302,97
1303,117
1303,130
1304,118
1304,29
1305,112
1305,93
1306,140
1306,155
1307,20
1307,64
1308,142
1308,154
1309,134
1309,154
1310,142
1310,154
1311,354
1311,360
1312,10
1312,35
1313,196
1313,198
1314,290
1314,311
1315,146
1315,155
1316,117
1316,94
1317,187
1317,190
1318,312
1318,94
1319,32
1319,35
1320,20
1320,34
1321,192
1321,94
1322,64
1322,88
1323,117
1323,96
1324,11
1324,40
1325,145
1325,40
1326,274
1326,277
1327,40
1327,59
1328,62
1328,96
1329,20
1329,78
1330,142
1330,154
1331,147
1331,154
1332,116
1332,94
1333,10
1333,29
1334,113
1334,97
1335,318
1335,339
1336,134
1336,156
1337,117
1337,192
1338,11
1338,33
1339,119
1339,145
1340,196
1340,198
1341,20
1341,33
1342,21
1342,94
1343,133
1343,156
1344,178
1344,180
1345,118
1345,94
1346,205
1346,246
1347,94
1347,97
1348,145
1348,94
1349,145
1349,94
1350,117
1350,321
1351,26
1351,94
1352,145
1352,96
1353,43
1353,94
1354,142
1354,154
1355,20
1355,29
1356,228
1356,238
1357,115
1357,40
1358,40
1358,66
1359,10
1359,11
1360,137
1360,94
1361,94
1361,96
1362,133
1362,40
1363,119
1363,40
1364,145
1364,154
1365,11
1365,5
1366,10
1366,7
1367,17
1367,246
1368,133
1368,40
1369,222
1369,275
1370,113
1370,36
1371,116
1371,137
1372,192
1372,40
1373,296
1373,327
1374,146
1374,154
1375,94
1375,96
1376,270
1376,350
1377,133
1377,154
1378,3
1378,58
1379,10
1379,26
1380,135
1380,96
1381,118
1381,94
1382,150
1382,160
1383,25
1383,94
1384,248
1384,297
1385,119
1385,136
1386,57
1386,89
1387,116
1387,122
1388,36
1388,57
1389,197
1389,293
1390,113
1390,154
1391,10
1391,40
1392,192
1392,199
1393,192
1393,199
1394,10
1394,33
1395,26
1395,52
1396,117
1396,142
1397,117
1397,276
1398,94
1398,96
1399,259
1399,364
1400,117
1400,140
1401,117
1401,147
1402,10
1402,26
1403,40
1403,94
1404,11
1404,119
1405,10
1405,8
1406,142
1406,154
1407,10
1407,8
1408,326
1408,329
1409,145
1409,40
1410,350
1410,360
1411,41
1411,97
1412,33
1412,40
1413,130
1413,154
1414,94
1414,96
1415,116
1415,122
1416,119
1416,94
1417,273
1417,327
1418,130
1418,154
1419,118
1419,134
1420,60
1420,97
1421,10
1421,20
1422,118
1422,192
1423,62
1423,69
1424,318
1424,338
1425,343
1425,363
1426,32
1426,94
1427,145
1427,40
1428,288
1428,394
1429,350
1429,360
1430,350
1430,360
1431,354
1431,360
1432,10
1432,94
1433,10
1433,11
1434,116
1434,122
1435,205
1435,278
1436,278
1436,283
1437,134
1437,155
1438,145
1438,94
1439,134
1439,154
1440,147
1440,40
1441,142
1441,154
1442,130
1442,94
1443,52
1443,65
1444,118
1444,128
1444,154
1445,113
1445,142
1445,154
1445,306
1445,344
1446,34
1446,41
1446,73
1447,26
