"Source";"Target"
118;"BLSl3215"
118;"BLYT47"
118;"GULHun230"
118;"NLWPen394"
119;"BLLan379"
120;"BodArcSelB14"
120;"BodBar20"
120;"Bod414"
120;"Bod686"
120;"BodHatDon1"
120;"BodLauMis600"
120;"BodLauMis739"
120;"BodRawPoe141"
120;"BodRawPoe149"
120;"BodRawPoe223"
120;"OxfChrCh152"
120;"OxfCCC198"
120;"OxfNew314"
120;"OxfTri49"
120;"CULDd424"
120;"CULGg427"
120;"CULIi326"
120;"CULMm25"
120;"CamFitzMc181"
120;"CamTCC582"
120;"CamTCC595"
120;"BLAdd5140"
120;"BLAdd25718"
120;"BLAdd35286"
120;"BLEge2726"
120;"BLEge2863"
120;"BLEge2864"
120;"BLHar1758"
120;"BLHar7334"
120;"BLLan851"
120;"BLRoy17Dxv"
120;"BLRoy18Cii"
120;"BLSl1685"
120;"BLSl1686"
120;"NLWPen392"
120;"Alnwick455"
120;"GULHun197"
120;"GULHun197"
120;"Holkham667"
120;"Lichfield29"
120;"Lincoln110"
120;"LonPhys388"
120;"RylandsEng113"
120;"Petworth7"
120;"Austin46"
120;"Austin143"
120;"ChicagoUL564"
120;"PierpontM249"
120;"PhilRos10841"
120;"HunEL26C9"
120;"BNangl39"
120;"TokyoTak24"
120;"TokyoTak32"
120;"Bodmer48"
121;"CULFf16"
122;"CULDd11"
122;"CULFf238"
122;"CULGg4272"
122;"BLAdd10036"
122;"BLHar2382"
122;"UnivLonSLV17"
122;"Chetham8009"
123;"BLAdd5465"
124;"BLRoy8Fvii"
125;"BodAsh42"
125;"BodEngPoeta1"
125;"CULAdd8335"
125;"CULDd11"
125;"CULGg531"
125;"BLAdd22283"
125;"BLHar2391"
125;"Lam260"
125;"MinULZ822"
125;"HunHM129"
126;"BodAsh176"
127;"CULEe112"
128;"BodAsh176"
129;"BodRawC813"
130;"BLSl2593"
131;"BodArcSelB26"
132;"BLHar2252"
132;"BLRoy12Exvi"
132;"BLRoy18Bxxii"
133;"BodAsh43"
133;"Bod779"
133;"BodEngPoeta1"
133;"BodLauMis463"
133;"BodTan17"
133;"OxfTri57"
133;"CamCCC145"
133;"CamMagPep2344"
133;"CamTCC605"
133;"BLAdd10301"
133;"BLCottJulDIX"
133;"BLEge1993"
133;"BLEge2810"
133;"BLEge2891"
133;"BLHar2250"
133;"BLHar2277"
133;"Lam223"
133;"TokyoTak54"
134;"BlCottCalAII"
134;"NLWPen394"
135;"BLHar682"
136;"BodLauMis77"
137;"BodArcSelB26"
137;"BodEngPoete1"
137;"BLAdd5665"
138;"BLCottTibEVII"
139;"BLHar372"
140;"BodLatTheD1"
141;"BodLauMis77"
142;"BodArcSelB14"
142;"BodBar20"
142;"Bod414"
142;"BodHatDon1"
142;"BodLauMis600"
142;"BodRawPoe141"
142;"BodRawPoe149"
142;"BodRawPoe223"
142;"OxfChrCh152"
142;"OxfCCC198"
142;"OxfNew314"
142;"OxfTri49"
142;"CULDd424"
142;"CULGg427"
142;"CULIi326"
142;"CULMm25"
142;"CamFitzMc181"
142;"CamTCC582"
142;"CamTCC595"
142;"BLAdd5140"
142;"BLAdd35286"
142;"BLEge2726"
142;"BLEge2863"
142;"BLEge2864"
142;"BLHar1758"
142;"BLHar7333"
142;"BLHar7334"
142;"BLLan851"
142;"BLRoy17Dxv"
142;"BLRoy18Cii"
142;"BLSl1685"
142;"BLSl1686"
142;"NLW21972D"
142;"NLWPen392"
142;"Alnwick455"
142;"GULHun197"
142;"Lichfield29"
142;"Lincoln110"
142;"LonPhys388"
142;"RylandsEng113"
142;"Petworth7"
142;"Austin143"
142;"ChicagoUL564"
142;"PierpontM249"
142;"PhilRos10841"
142;"PUL100"
142;"HunEL26C9"
142;"BNangl39"
142;"TokyoTak24"
142;"TokyoTak32"
142;"Bodmer48"
143;"BLHar2259"
144;"BLCottFausBVI"
145;"BodArcSelB14"
145;"BodBar20"
145;"Bod686"
145;"BodHatDon1"
145;"BodLauMis600"
145;"BodLauMis739"
145;"BodRawPoe141"
145;"BodRawPoe223"
145;"OxfChrCh152"
145;"OxfCCC198"
145;"OxfNew314"
145;"OxfTri49"
145;"CULDd424"
145;"CULIi326"
145;"CULMm25"
145;"CamFitzMc181"
145;"CamTCC582"
145;"CamTCC595"
145;"BLAdd5140"
145;"BLAdd35286"
145;"BLEge2726"
145;"BLEge2863"
145;"BLEge2864"
145;"BLHar7333"
145;"BLHar7334"
145;"BLLan851"
145;"BLRoy17Dxv"
145;"BLRoy18Cii"
145;"BLSl1685"
145;"BLSl1686"
145;"NLWPen392"
145;"GULHun197"
145;"Lichfield29"
145;"Lincoln110"
145;"LonPhys388"
145;"RylandsEng113"
145;"Petworth7"
145;"Austin143"
145;"ChicagoUL564"
145;"PierpontM249"
145;"PhilRos10842"
145;"PUL100"
145;"HunEL26C9"
145;"TokyoTak24"
145;"TokyoTak32"
145;"BodAsh45III"
147;"Bod779"
148;"Bod859"
148;"Bod859"
149;"CamCCC233"
149;"CamTCC1230"
149;"BLHar3300"
150;"BodAsh42"
150;"BodEngPoeta1"
150;"CULDd11"
150;"CULGg531"
150;"BLAdd38010"
150;"BLHar2391"
150;"Lam260"
150;"MinULZ822"
150;"HunHM129"
151;"BLAdd17492"
151;"BLAdd17492"
151;"BLAdd28636"
151;"BLAdd31922"
151;"BLEge2711"
152;"WorcF10"
153;"BodEngPoeta1"
154;"Bod622"
154;"BLCottCleoDVIII"
154;"NLS18721"
155;"BodLauMis77"
156;"CULKk424"
157;"WorcF10"
158;"BLCottFausBVI"
158;"BLSto39"
159;"BodAsh59"
159;"CamTCC600"
160;"OxfBal149"
160;"BLHar331"
160;"WorcF10"
161;"BodArcSelB26"
162;"NLS18721"
163;"BodeMus160"
164;"RylandsLat394"
165;"Banna"
166;"BodLauMis77"
167;"DULCosViii9"
168;"BodEngPoeta1"
169;"BodSelSup52"
169;"BodAsh42"
169;"BodEngPoeta1"
169;"CULAdd8335"
169;"CULDd11"
169;"CULGg531"
169;"BLAdd38010"
169;"BLHar4196"
169;"EDCPCM"
169;"Lam260"
169;"MinULZ822"
169;"HunHM129"
170;"BodLatTheD1"
171;"CULKk424"
172;"BLAdd31922"
172;"BLRoyApp58"
173;"CamTCC323"
174;"CamCCC329"
175;"BLAdd31922"
176;"BodAsh59"
176;"BLSl1212"
177;"BodArcSelB24"
177;"Bod638"
177;"BodFair16"
177;"BodRawC86"
177;"BodTan346"
177;"CULFf16"
177;"CULGg427"
177;"CamMagPep2006"
177;"CamTCC599"
177;"BLAdd9832"
177;"BLAdd12524"
177;"BLAdd28617"
178;"BLHar7322"
179;"BLHar7322"
180;"BLAdd27444"
181;"OxfBal354"
182;"BodLauMis598"
183;"BLHar2253"
184;"OxfMert248"
185;"BLHar682"
186;"CamTCC335"
187;"BodRawC301"
188;"BodWoodEmpt18"
189;"CamTCC323"
190;"CamSidney99"
190;"BLRoy12Exvi"
190;"GULHun230"
192;"OxfAllS17"
193;"OxfBal354"
194;"ChethamA472"
195;"CULIi38"
196;"CULKk424"
197;"BodLatTheD1"
198;"CamTCC323"
199;"NYPL120"
200;"NYPL120"
201;"BodDonC13"
201;"BodRawPoe175"
201;"BlCottGalEIX"
202;"BodArcSelB26"
202;"CamTCC1230"
203;"CamJes13"
204;"BodEngPoete1"
204;"OxfBal354"
204;"Sharp"
205;"BLAdd31922"
206;"BLRoy17Bxlvii"
208;"BLAdd5665"
209;"BodLauMis77"
210;"Wellcome41"
211;"CULIi326"
212;"Bod26"
213;"CULEe112"
214;"CULEe112"
215;"BLSl2593"
216;"BLSl2593"
217;"BodeMus160"
218;"CULGg4271b"
218;"CamTCC600"
219;"BodAsh970"
220;"BLAdd31922"
221;"BodAsh176"
221;"BLAdd31922"
222;"BLAdd31922"
223;"CULKk15"
224;"CULFf238"
226;"Bod779"
227;"BodRawB408"
228;"BodLauMis77"
230;"CULLl510"
230;"CamMagPep2553"
230;"Banna"
231;"SouthCL1597"
232;"HunHM744"
234;"BLAdd39996"
235;"BodLauMis735"
235;"BodSelSup53"
235;"Bod221"
235;"CovAcc3251"
235;"DULCosViii9"
235;"YaleBei493"
236;"Bod779"
237;"NLS18721"
238;"OxfCCC431"
238;"CamCCC145"
238;"Winches33"
239;"BLCottTibEVII"
239;"BLHar4196"
240;"Ushaw10"
241;"BLHar682"
242;"BLAdd39996"
243;"CULNn412"
244;"BodAsh59"
244;"CamTCC600"
245;"BodAsh42"
245;"BodEngPoeta1"
245;"CULAdd8335"
245;"CULDd11"
245;"CULGg531"
245;"BLAdd38010"
245;"HunHM129"
246;"BLHar682"
247;"HarEng766"
248;"NLS18721"
249;"BNfr25458"
250;"BLAdd31922"
252;"CULGg26"
253;"OxfLinLat141"
254;"BodDHumd2"
255;"Trento"
257;"BLAdd31922"
257;"TCD160"
258;"BLHar682"
259;"BodLatMisC66"
260;"YaleBei91"
261;"CULFf16"
262;"BLHar682"
263;"CULIi38"
264;"Bod187"
264;"Bod410"
264;"BodLauMis111"
264;"BodLauMis213"
264;"BodLauMis213"
264;"BodLauMis568"
264;"BodRawC670"
264;"CamGon71"
264;"EDU82"
264;"Lincoln44"
264;"Lincoln44"
264;"Spalding"
264;"WorcF19"
264;"WorcF126"
264;"VaticanOtto"
265;"Bod187"
265;"Bod410"
265;"BodLauMis213"
265;"BodLauMis568"
265;"BodLauMis111"
265;"BodRawC670"
265;"CamGon71"
265;"CamGon364"
265;"CamStJohn159"
265;"CantLitD14"
265;"DULCosViv2"
265;"Eton34"
265;"Lam78"
265;"Lincoln44"
265;"Lincoln234"
265;"Spalding"
265;"WorcF19"
265;"WorcQ3"
265;"VaticanOtto"
266;"NLS18721"
267;"BodLauMis735"
268;"SalisbHunCh"
269;"BLHar682"
270;"BodLauMis108"
271;"BodAsh191IV"
272;"BLAdd5465"
273;"PULTayM5"
274;"NLS18721"
275;"CULGg427"
275;"BLAdd16165"
275;"BLSl1212"
276;"BLHar682"
277;"BLAdd37049"
278;"CantLetters173"
279;"CULIi38"
280;"BLHar682"
281;"NLWPen26"
282;"CULIi38"
283;"CamTCC600"
283;"BLAdd29729"
283;"BLHar2251"
284;"BLHar7322"
285;"CULIi38"
286;"BLAdd5465"
287;"NLS18721"
288;"BLHar682"
289;"BNfr25458"
290;"CULIi38"
291;"BodAsh176"
292;"Bod791"
293;"CULIi38"
294;"TCD432"
296;"OxfBal316B"
297;"Banna"
298;"NLWPork10"
299;"CULIi38"
300;"BodAsh176"
301;"BLHar2252"
302;"CULFf16"
303;"NottsULMiDc7"
304;"BLAdd31922"
305;"CamStJohn195"
306;"BodRawC813"
307;"OxfBal149"
308;"NLS18721"
309;"BodEngPoete1"
310;"BLHar682"
311;"BLHar682"
312;"BodLauMis108"
312;"CULGg4272"
312;"BLHar2253"
313;"BodEngPoeta1"
314;"BodAddA106"
314;"BodFair14"
315;"BodRawPoe175"
315;"BLCottTibEVII"
315;"BLHar4196"
316;"BodDou302"
317;"BodAsh61"
317;"BodRawC813"
317;"OxfCCC237"
317;"NLS1931"
317;"Lincoln91"
317;"Lam560"
318;"BodRawPoe34"
318;"CULDd11"
318;"BLAdd36983"
318;"BLHar1671"
318;"BLHar2382"
318;"BLRoy8Cxii"
320;"Leicester4"
321;"Lam78"
322;"BLHar682"
323;"BodRawPoe32"
324;"CamEmm27"
325;"CamJes56"
325;"CamTCC601"
325;"BLHar2255"
326;"BLEge655"
327;"BodRawD913"
329;"BLSl2478"
330;"BLAdd20059"
331;"GULHun83"
332;"BLAdd34360"
332;"BLHar2251"
333;"BodAsh43"
333;"Bod779"
333;"BodLauMis108"
333;"BodLauMis463"
333;"OxfTri57"
333;"CULAdd3039"
333;"CamMagPep2344"
333;"CamTCC605"
333;"BLCottJulDIX"
333;"BLEge2810"
333;"BLEge2891"
333;"BLHar2277"
333;"BLSto949"
333;"Lam223"
333;"TokyoTak54"
334;"BLHar2253"
334;"NLS1921"
335;"BodRawC86"
335;"CULKk16"
335;"BLHar78"
335;"BLHar2251"
336;"BLHar7322"
337;"BLEge3307"
338;"BodEngPoeta1"
338;"BLAdd22283"
339;"BlCottGalEIX"
340;"CamMagPep1047"
341;"CamTCC1289"
342;"BodDou52"
342;"RylandsLat394"
343;"CULEe15"
343;"CamPem229"
343;"BLAdd8151"
343;"BLRoy17Bxvii"
344;"CamTCC599"
345;"Bod187"
345;"Bod410"
345;"BodLauMis213"
345;"BodRawC670"
345;"EDU82"
345;"Lincoln44"
345;"WorcF19"
346;"Bod832"
347;"Lam408"
347;"YorkMinXVIL12"
348;"BodDod55"
350;"NLS18721"
351;"BodRawD913"
352;"BodLauMis463"
353;"Eton36"
354;"BLEge3245"
355;"NLS18721"
356;"CULIi38"
357;"BodEngPoeta1"
357;"BodRawA389"
357;"CULDd564"
357;"BLAdd22283"
357;"BLEge3245"
357;"TCD155"
357;"WestmSch3"
357;"Longleat29"
358;"BLCottTibEVII"
358;"BLHar4196"
359;"BodAsh61"
359;"Bod686"
359;"CamTCC1450"
359;"CamTCC1450"
359;"BLAdd29729"
359;"BLHar172"
359;"BLHar2251"
359;"BLHar4011"
359;"BLLan409"
359;"Banna"
359;"HunEL26A13"
361;"CULDd564"
361;"Longleat29"
362;"BodAsh43"
362;"Bod779"
362;"BodLauMis108"
362;"BodLauMis463"
362;"BodRawPoe225"
362;"OxfTri57"
362;"CULAdd3039"
362;"CamMagPep2344"
362;"CamTCC605"
362;"BLCottJulDIX"
362;"BLEge2810"
362;"BLEge2891"
362;"BLHar2277"
362;"BLSto949"
362;"TokyoTak54"
363;"BLCottVesBXII"
364;"NLS1921"
365;"BLCottCleoDIX"
366;"CULAdd4407a"
366;"BLHar2253"
367;"NLS1921"
368;"Lam557"
369;"MinULZ822"
370;"BodEngPoeta1"
370;"BodRawPoe225"
370;"NLS1921"
370;"Kendal"
371;"BodEngPoete1"
372;"CamStJohn255"
373;"BodRawA362"
373;"BLAdd36791"
374;"BodAsh61"
374;"BodAsh61"
374;"BodDig86"
375;"CULDd11"
376;"BodEngPoeta1"
376;"BodRawPoe225"
376;"CamTCC605"
376;"BLEge1993"
376;"BLSto949"
376;"NLS1921"
376;"Lam223"
377;"BodLauMis463"
378;"CULIi49"
379;"BLCottTitAXXVI"
380;"BLCottVesAXXV"
381;"BodAsh61"
382;"BodLauMis622"
383;"BodAsh61"
383;"BodAsh750"
383;"BodDou323"
383;"BodEngPoeta1"
383;"BodEngPoetc3"
383;"BodRawQb4"
383;"CamStJohn29"
383;"CamTCC61"
383;"BLAdd22283"
383;"BLAdd36983"
383;"BLAru140"
383;"BlCottCalAII"
383;"BLCottTitAXXVI"
383;"YorkMinXVIL12"
383;"YaleBei365"
384;"BLHar7322"
385;"BodHat73"
385;"Lam344"
386;"NLS18721"
387;"NLS18721"
388;"TCD158"
389;"WorcF126"
390;"BLHar2251"
390;"CamMagPep2553"
390;"Banna"
391;"VandADyce44"
392;"BodLauMis108"
393;"CamGon383"
394;"TakamiyaBible"
395;"BLAdd40166c3"
396;"HarEng766"
397;"Banna"
398;"BodRawPoe34"
398;"CULFf238"
399;"BodDou52"
399;"CULGg11"
399;"RylandsLat394"
400;"CamCCC405"
401;"CULDd564"
401;"Lincoln91"
401;"Longleat29"
402;"BLRoy17Bxvii"
403;"NLS18721"
404;"BLHar7578"
405;"BLSl3160"
406;"BLAdd17492"
406;"CamMagPep2553"
406;"ArunHar"
406;"Longleat258"
407;"Bod770"
407;"OxfCCC237"
407;"OxfUni181"
407;"CULKk17"
407;"CamGon124"
407;"BLAdd34193"
407;"BLAdd37049"
407;"BLEge615"
407;"HatCP270"
407;"NYPLSpenc19"
407;"MelSLV096G94"
408;"BLAdd31042"
409;"BodAddC280"
410;"OxfBal354"
410;"CamGon383"
410;"BLC21"
411;"CamTCC366"
413;"BlCottCalAII"
414;"Bod638"
414;"BodFair16"
414;"BodLauMis740"
414;"CULFf530"
414;"CULGg427"
414;"CamMagPep2006"
414;"CamMagPep2006"
414;"CamStJohn189"
414;"BLAdd36983"
414;"BLHar2251"
414;"BLHar7578"
414;"CovAcc3251"
414;"DULCosVi9"
414;"GULHun239"
414;"SionArcL402E44"
414;"MelSLV096G94"
415;"OxfLinLat141"
416;"CamTCC1450"
417;"Bod789"
417;"CULDd82"
417;"CULIi643"
417;"CULIi643"
417;"BLHar2406"
417;"Longleat29"
418;"Banna"
418;"Banna"
419;"Lam935"
420;"YaleBei163"
421;"BLCottFausBIII"
422;"BodAsh61"
422;"BodRawA389"
422;"CULFf238"
422;"CamMagPep1584"
422;"BLAdd10053"
422;"BLAdd33995"
422;"BLRoy17Bxvii"
423;"Bod48"
423;"Bod446"
423;"BodEngPoeta1"
423;"BodEngPoetd5"
423;"BodGreaves43"
423;"BodHat18"
423;"BodHat19"
423;"BodLye28"
423;"BodRawC884"
423;"BodRawC890"
423;"BodRawQb4"
423;"CULAdd2823"
423;"CULFf49"
423;"CULGg17"
423;"CULGg114"
423;"CULIi136"
423;"CULLl18"
423;"CamFitzMc130"
423;"CamGon160"
423;"CamTCC593"
423;"CamTCC593"
423;"CamTCC603"
423;"BLAdd8151"
423;"BLAdd22283"
423;"BLAdd22558"
423;"BLAdd33995"
423;"BLCottTibEVII"
423;"BLHar435"
423;"BLHar2260"
423;"BLHar6718"
423;"BLRoy17Cviii"
423;"BLSl1785"
423;"BLSto951"
423;"NLWPen395"
423;"EDULaiii318"
423;"GULHun89"
423;"LiverpoolULF49"
423;"MarlVicar"
423;"NottsULMiLm9"
423;"StaffordRODW1734"
423;"PULTayM11"
423;"TCD76"
423;"TCD423"
423;"TCD423"
423;"TokyoTak15"
423;"Bein20082479"
424;"BLEge3245"
424;"Lincoln91"
424;"PULKane21"
425;"BodEngPoeta1"
425;"BLAdd22283"
426;"Bod415"
426;"CamTCC305"
426;"BLAdd36983"
426;"BLHar1701"
426;"Lam559"
426;"Folger420312"
427;"CovAcc3251"
428;"BodLauMis595"
429;"BLAdd31042"
429;"BLHar2399"
429;"BLHar3954"
430;"PlimptonAd2"
431;"BodDig102"
432;"Lam306"
433;"BodLatLitE17"
433;"CULKk16"
433;"BLAdd39574"
434;"EDU205"
435;"BLHar2339"
435;"TCD70"
436;"BodAddA268"
436;"BlCottCalAII"
436;"BLEge2810"
437;"CULFf238"
437;"CamMagPep1584"
438;"CamStJohn37"
439;"BlCottGalEIX"
440;"BLAdd37492"
441;"BLEge3143"
442;"BLLan388"
443;"Bod770"
443;"OxfCCC237"
443;"OxfUni181"
443;"CULKk17"
443;"CamGon124"
443;"BLAdd34193"
443;"BLAdd37049"
443;"BLEge615"
443;"HatCP270"
443;"NYPLSpenc19"
443;"MelSLV096G94"
444;"BLHar682"
445;"BLRoyApp58"
446;"BLAdd5665"
447;"BLAdd5665"
448;"CULAdd2585"
448;"BLHar682"
449;"CamMagPep2553"
449;"Banna"
449;"Banna"
450;"TCD277"
451;"CamGon383"
452;"BLAdd31922"
453;"CamTCC599"
454;"CamCCC294"
455;"BLAdd37049"
456;"BLAdd46919"
457;"CULKk418"
458;"BLLoaPor29"
459;"BodRawD328"
460;"CamStJohn34"
461;"BLRoy20Ai"
462;"BodLauMis581"
463;"Bod779"
463;"OxfCCC431"
463;"CamMagPep2344"
464;"BosPLMed94"
464;"AbeUL223"
465;"OxfExe129"
466;"CamStJohn195"
467;"CamMagPep2553"
467;"BLAru285"
467;"Asloan"
468;"CamMagPep2553"
468;"Banna"
469;"CULEe112"
470;"CULEe112"
471;"CULEe112"
472;"BodEngPoete1"
473;"CULEe112"
474;"NLS1921"
475;"CULEe112"
476;"BodSelSup52"
476;"BodAsh42"
476;"BodEngPoeta1"
476;"CULAdd8335"
476;"CULDd11"
476;"CULGg531"
476;"BLAdd38010"
476;"BLHar2391"
476;"EDCPCM"
476;"Lam260"
476;"MinULZ822"
476;"HunHM129"
477;"BodAddC287"
477;"CULGg4271b"
477;"CamStJohn235"
477;"EDUDc143"
478;"BLLan762"
479;"BodSelSup52"
479;"BodAsh42"
479;"BodEngPoeta1"
479;"CULAdd8335"
479;"CULDd11"
479;"CULGg531"
479;"BLAdd22283"
479;"BLAdd38010"
479;"BLHar2391"
479;"Lam260"
479;"MinULZ822"
479;"HunHM129"
480;"HarEng766"
482;"BodAsh1492"
483;"PULTayB741"
484;"YaleBei163"
485;"YaleBei163"
486;"BLCottTibEVII"
486;"BLHar4196"
487;"BodAsh42"
487;"CULAdd8335"
487;"CULDd11"
487;"BLAdd38010"
487;"BLCottTibEVII"
487;"BLHar2391"
487;"BLHar4196"
487;"Lam260"
487;"MinULZ822"
487;"HunHM129"
488;"BodSelSup52"
488;"BodAsh42"
488;"BodEngPoeta1"
488;"BodEngPoetc3"
488;"BodLatMisB17"
488;"CULAdd8335"
488;"CULDd11"
488;"CULGg531"
488;"BLAdd38010"
488;"BLCottTibEVII"
488;"BLHar2391"
488;"BLHar4196"
488;"Lam260"
488;"MinULZ822"
488;"HunHM129"
489;"BodSelSup52"
489;"BodAsh42"
489;"BodEngPoeta1"
489;"CULAdd8335"
489;"CULDd11"
489;"Lam260"
489;"MinULZ822"
489;"HunHM129"
