,"gouvernement","nouveau","france","trouver","canada","saint","déclarer","bien","état","rendre","premier","ministre","aller","moi","dernier","foi","montréal","langue","million","rester","dire","étranger","jour","national","elle","cinq","cent","prendre","autre","province","encore","nous","donner","important","américain","affaire","affirmer","cour","chef","devoir","travail","tenir","président","monde","états","unis","avant","anglais","problème","fédéral","temps","notamment","point","grand","général","gaulle","politique","trois","paris","je","ottawa","savoir","lui","homme","vouloir","venir","notre","non","voir","dix","plusieurs","pays","économique","jean","permettre","libéral","jeune","contre","parti","social","francophone","québécois","culturel"
"explosion",1,4,1,1,2,0,0,0,0,0,5,1,1,1,4,1,7,1,1,1,2,0,0,1,1,1,1,1,2,0,2,1,0,2,1,1,0,0,0,0,0,0,1,4,0,1,3,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0
"expo",1,0,2,2,4,2,0,0,0,1,1,2,1,3,2,2,5,1,5,0,2,0,1,2,2,1,0,2,2,3,2,1,1,0,2,0,1,0,0,3,0,2,1,1,0,0,0,2,2,2,1,0,2,2,2,1,0,2,0,1,1,3,2,2,1,2,1,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0
"extrême",0,1,0,0,4,0,0,3,1,1,3,1,1,1,3,3,0,1,0,0,1,1,1,2,4,1,1,4,7,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,2,0,2,1,0,1,2,1,1,1,0,2,0,0,4,1,1,0,1,0,0,2,0,1,1,4,0,2,1,2,7,1,0,0,0
"extrêmement",3,0,1,2,1,0,3,2,2,1,2,2,2,2,3,1,0,1,0,0,3,1,0,1,3,1,0,3,0,1,2,1,2,0,3,1,0,0,2,6,1,0,2,1,2,2,1,0,1,0,1,2,1,1,2,1,1,0,1,1,1,2,2,2,2,1,3,1,1,0,0,5,1,0,2,0,1,1,1,1,2,1,0
"fameux",0,0,0,3,3,0,0,2,2,0,1,0,0,1,1,0,3,3,0,0,3,0,1,1,2,1,0,1,0,1,2,1,1,0,3,2,1,0,1,0,0,0,0,3,1,0,1,3,0,0,1,0,1,1,3,2,1,1,0,5,0,1,3,3,1,1,3,0,5,0,0,2,0,0,1,0,1,1,1,0,0,2,0
"fermer",1,0,2,1,2,1,0,1,0,0,0,0,1,1,0,1,3,1,0,2,0,0,0,0,2,0,1,1,5,0,1,2,0,0,0,0,0,0,0,2,2,0,0,3,3,3,1,0,1,2,0,3,0,1,2,0,0,3,0,1,1,0,4,0,0,1,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,2,1
"fête",0,1,1,0,2,6,0,0,1,1,2,2,2,0,1,0,4,1,0,0,3,0,1,6,2,1,2,1,1,0,3,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,3,0,0,0,0,0,1,6,8,5,0,2,3,1,1,1,2,1,1,0,0,0,1,3,0,1,0,4,1,0,2,1,0,1,1,1,2
"final",4,2,3,0,3,0,2,3,0,0,3,2,1,0,0,0,0,2,0,1,5,2,1,0,1,0,0,1,5,1,1,0,2,1,2,2,1,1,1,4,2,0,2,3,3,4,1,2,2,1,1,0,4,0,0,1,2,2,0,0,0,0,2,1,0,1,1,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0
"fonctionnement",2,1,5,0,0,1,0,1,2,1,1,3,1,1,3,1,1,0,3,2,4,1,2,2,1,1,1,0,1,0,1,1,2,3,1,0,1,2,0,2,1,0,0,1,0,1,0,0,3,0,0,1,1,1,1,2,2,1,0,1,0,0,2,0,1,2,2,0,1,0,0,2,1,1,2,0,1,0,1,2,0,4,1
"gabon",15,3,4,0,10,0,1,1,1,2,4,14,1,5,5,0,0,0,0,1,1,0,1,3,0,0,0,3,0,0,2,3,1,0,0,2,2,0,0,0,0,1,2,1,2,0,1,0,2,8,0,1,0,0,1,0,0,0,5,1,11,3,0,0,2,0,1,1,1,0,1,8,1,1,0,0,0,0,0,0,5,6,1
"garantie",6,1,0,0,2,0,0,2,0,1,2,1,0,0,2,1,0,4,0,0,1,0,1,3,4,2,0,1,2,6,1,2,0,1,1,0,1,0,1,4,0,1,0,0,0,0,1,3,1,4,0,3,1,2,2,2,6,1,0,1,0,1,5,1,0,0,0,1,2,0,0,3,0,1,0,0,1,2,0,1,1,1,2
"genève",3,4,5,1,2,0,3,0,0,1,2,5,0,0,0,0,0,1,0,1,3,5,0,0,3,2,1,1,0,0,2,0,0,3,1,4,0,0,1,2,1,1,4,1,1,1,1,0,1,0,0,1,0,3,5,3,1,0,3,0,1,0,2,0,0,0,2,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
"gisement",2,4,2,0,3,2,1,3,0,1,0,2,3,1,1,1,1,0,2,1,2,0,1,1,4,0,1,1,1,6,1,3,0,7,1,1,1,1,0,1,0,0,0,2,1,1,2,0,1,2,1,0,1,3,2,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"gorse",2,0,1,0,2,0,4,1,2,2,2,17,0,0,0,0,1,0,0,0,2,3,0,1,3,0,0,1,1,0,0,0,10,1,0,5,0,0,1,2,0,2,1,0,0,0,1,0,0,0,0,2,0,0,10,9,2,0,2,4,0,1,2,0,0,0,0,2,1,0,1,1,2,0,0,0,0,1,0,2,0,1,1
"grandeur",0,2,11,1,2,0,1,3,0,0,1,0,1,1,1,4,0,0,0,2,5,0,1,0,3,0,0,0,1,0,3,3,4,0,1,0,0,0,2,3,0,0,0,2,2,2,1,0,0,0,3,0,0,4,4,4,1,0,0,3,0,2,5,1,2,1,2,3,1,1,0,3,0,0,1,0,1,0,0,0,0,0,0
"habiter",0,1,3,0,6,3,0,1,0,1,2,0,0,1,1,2,3,0,1,0,2,3,1,3,2,0,0,1,3,3,2,3,0,1,0,0,0,0,1,1,0,1,0,3,2,3,0,2,1,0,0,0,0,2,1,0,1,3,2,1,0,0,2,0,1,2,0,3,2,1,1,3,1,2,0,0,0,0,0,1,2,2,0
"hégémonie",2,2,11,2,1,0,0,1,1,1,2,1,1,1,1,1,0,0,0,0,2,2,0,3,6,1,0,0,5,1,4,4,0,0,11,1,1,0,1,1,0,2,0,5,2,2,1,2,0,1,0,1,0,5,6,6,7,0,0,0,0,1,1,0,1,0,1,1,2,2,0,2,1,0,2,0,1,4,1,0,1,0,0
"historien",0,1,0,1,2,0,0,0,0,0,2,0,2,0,1,0,1,2,0,0,1,0,1,1,1,1,1,3,3,1,1,0,1,1,4,0,1,0,0,1,1,2,0,0,0,0,2,4,2,0,0,0,0,4,1,1,0,0,2,1,0,2,1,0,2,0,1,1,3,0,0,4,1,1,0,0,1,1,0,0,0,1,0
